"","source_st","target_st"
"456",85,13
"457",61,134
"458",19,28
"459",18,67
"460",20,20
"461",21,145
"462",111,69
"463",111,25
"464",111,68
"465",112,63
"466",112,83
"467",112,55
"468",112,28
"469",112,68
"470",112,51
"471",113,104
"472",113,105
"473",113,67
"474",113,112
"475",113,51
"476",113,28
"477",113,66
"478",114,18
"479",114,106
"480",114,24
"481",114,69
"482",114,59
"483",114,36
"484",114,147
"485",114,134
"486",114,20
"487",114,70
"488",114,5
"489",114,13
"490",115,126
"491",115,101
"492",116,121
"493",116,136
"494",117,105
"495",117,34
"496",117,52
"497",117,89
"498",117,35
"499",117,86
"500",117,38
"501",117,44
"502",118,44
"503",119,39
"504",119,119
"505",120,66
"506",120,55
"507",120,68
"508",120,148
"509",121,116
"510",121,101
"511",121,67
"512",121,25
"513",121,88
"514",121,79
"515",121,133
"516",122,90
"517",122,56
"518",122,107
"519",122,77
"520",122,12
"521",123,132
"522",123,47
"523",123,128
"524",123,66
"525",123,137
"526",124,80
"527",124,135
"528",85,29
"529",85,32
"530",85,50
"531",125,84
"532",125,39
"533",125,126
"534",126,115
"535",126,101
"536",127,26
"537",127,136
"538",128,132
"539",128,47
"540",128,43
"541",128,137
"542",129,24
"543",129,59
"544",110,69
"545",110,62
"546",110,49
"547",110,134
"548",110,92
"549",110,91
"550",110,70
"551",110,102
"552",130,112
"553",130,81
"554",130,35
"555",130,113
"556",130,149
"557",131,48
"558",131,32
"559",131,135
"560",131,94
"561",132,47
"562",132,128
