"","source_st","target_st"
"1",64,95
"2",54,82
"3",54,7
"4",93,143
"5",93,NA
"6",93,149
"7",65,34
"8",65,45
"9",65,NA
"10",65,130
"11",65,35
"12",65,60
"13",65,84
"14",65,117
"15",122,90
"16",122,56
"17",122,46
"18",122,80
"19",122,12
"20",122,22
"21",122,77
"22",122,107
"23",23,48
"24",23,97
"25",23,131
"26",23,58
"27",23,94
"28",38,89
"29",38,67
"30",38,86
"31",38,117
"32",16,28
"33",47,132
"34",47,128
"35",92,77
"36",92,37
"37",140,105
"38",140,101
"39",140,39
"40",140,9
"41",140,35
"42",140,94
"43",18,21
"44",18,70
"45",18,12
"46",18,114
"47",18,106
"48",18,31
"49",18,48
"50",132,47
"51",132,128
"52",89,117
"53",89,45
"54",89,67
"55",89,119
"56",89,44
"57",89,40
"58",89,86
"59",129,24
"60",129,59
"61",129,33
"62",129,36
"63",1,68
"64",88,25
"65",20,134
"66",17,45
"67",104,83
"68",104,55
"69",104,87
"70",104,113
"71",104,3
"72",96,42
"73",96,107
"74",96,148
"75",96,23
"76",51,113
"77",51,27
"78",51,11
"79",28,16
"80",113,104
"81",113,NA
"82",113,83
"83",113,112
"84",113,3
"85",113,55
"86",113,28
"87",113,51
"88",113,105
"89",113,66
"90",113,120
"91",113,67
"92",21,70
"93",21,18
"94",21,49
"95",21,35
"96",21,82
"97",57,139
"98",NA,71
"99",NA,121
"100",NA,79
"101",69,111
"102",69,24
"103",69,110
"104",98,35
"105",98,67
"106",98,39
"107",98,10
"108",98,44
"109",98,47
"110",58,48
"111",58,97
"112",58,23
"113",58,29
"114",58,50
"115",53,111
"116",53,16
"117",NA,35
"118",102,145
"119",52,34
"120",52,117
"121",50,100
"122",50,32
"123",50,85
"124",50,84
"125",50,48
"126",119,39
"127",107,122
"128",73,126
"129",73,60
"130",36,129
"131",36,59
"132",36,4
"133",36,33
"134",36,6
"135",71,NA
"136",11,27
"137",133,22
"138",133,121
"139",133,134
"140",NA,96
"141",NA,99
"142",13,5
"143",13,103
"144",13,70
"145",31,18
"146",105,44
"147",105,140
"148",105,101
"149",105,66
"150",105,9
"151",105,14
