"","name","Year_in","Year_out","Type","City","Organization","Unit","is_elite"
"150","Зубарев",2000,2005,"Работа","Пермь, Пермский край, РФ","Администрация Пермской области","Управление здравоохранения","до"
"151","Зубарев",2005,2006,"Работа","Пермь, Пермский край, РФ","ФОМС",NA,"до"
"152","Зубарев",2006,2008,"Работа","Пермь, Пермский край, РФ","Министерство здравоохранения",NA,"элита"
"153","Зубарев",2008,2010,"Работа","Пермь, Пермский край, РФ","Правительство Пермского края",NA,"элита"
"154","Зубарев",2012,2012,"Работа","Пермь, Пермский край, РФ","ООО «Медицина Консалтинг»",NA,"после"
"155","Зубарев",2012,2013,"Работа","Красногорск, Московская область, РФ","Министерство здравоохранения",NA,"после"
"156","Ивашкин",1974,NA,"Родился","Пермь, Пермский край, РФ",NA,NA,"до"
"157","Ивашкин",1991,1996,"Учеба","Пермь, Пермский край, РФ","Пермский национальный исследовательский политехнический университет","Электротехнический факультет","до"
"158","Ивашкин",1996,1998,"Работа","Пермь, Пермский край, РФ","ЛПДС Пермь",NA,"до"
"159","Ивашкин",1998,2002,"Работа","Пермь, Пермский край, РФ","ООО «Пермтрансгаз»",NA,"до"
"160","Ивашкин",2002,2006,"Работа","Пермь, Пермский край, РФ","МУП «Пермгоркоммунтепло»",NA,"до"
"161","Ивашкин",2006,2009,"Работа","Пермь, Пермский край, РФ","Министерство градостроительства и развития инфраструктуры",NA,"до"
"162","Ивашкин",2009,2012,"Работа","Пермь, Пермский край, РФ","РЭК",NA,"элита"
"163","Ивашкин",2014,2021,"Работа","Пермь, Пермский край, РФ","ООО «Технология композитов»",NA,"после"
"164","Калина",1972,NA,"Родился","Пермь, Пермский край, РФ",NA,NA,"до"
"165","Калина",1989,1995,"Учеба","Пермь, Пермский край, РФ","Пермский государственный медицинский университет","Лечебный факультет","до"
"166","Калина",2006,2009,"Работа","Пермь, Пермский край, РФ","Городская клиническая поликлиника № 5",NA,"до"
"167","Калина",2009,2012,"Работа","Пермь, Пермский край, РФ","Агентство по управлению учреждениями здравоохранения Пермского края",NA,"элита"
"168","Калина",2012,2019,"Работа","Пермь, Пермский край, РФ","Министерство здравоохранения",NA,"после"
"169","Калина",2019,2019,"Работа","Красногорск, Московская область, РФ","Правительство Московской области","советник первого вице-губернатора","после"
"170","Калина",2019,2021,"Работа","Красногорск, Московская область, РФ","Министерство здравоохранения",NA,"после"
"171","Карпушин",1961,NA,"Родился","Пермь, Пермский край, РФ",NA,NA,"до"
"172","Карпушин",1979,1984,"Учеба","Пермь, Пермский край, РФ","Пермский государственный гуманитарно-педагогический университет","Факультет иностранных языков","до"
"173","Карпушин",1988,1993,"Работа","Пермь, Пермский край, РФ","Профессиональное училище № 15",NA,"до"
"174","Карпушин",1993,2003,"Работа","Пермь, Пермский край, РФ","Экономическая школа № 145",NA,"до"
"175","Карпушин",2003,2006,"Работа","Пермь, Пермский край, РФ","Администрация города","Департамент образования","до"
"176","Карпушин",2006,2012,"Работа","Пермь, Пермский край, РФ","Министерство образования",NA,"элита"
"177","Карпушин",2012,2021,"Работа","Пермь, Пермский край, РФ","«Лукойл Оверсиз»",NA,"после"
"178","Костина",1971,NA,"Родился","Пермь, Пермский край, РФ",NA,NA,"до"
"179","Костина",1988,1993,"Учеба","Пермь, Пермский край, РФ","Пермский государственный университет","Экономический факультет","до"
