БогатыревВС;;;;;;;;
БогатыревИС;;;;;;;;
Богданов-БельскийНП;;;;;;;;
БогдановичФО;;;;;;;;
БогдановНП;;;;;;;;
БогданПГ;;;;;;;;
БоголюбовАП;;;;;;;;
БоголюбовБМ;;;;;;;;
БогомазовТН;;;;;;;;
БодаревскийНК;;;;;;;;
БодемюллерФ;;;;;;;;
Бодуэн-де-Куртенэ;;;;;;;;
Боженко;;;;;;;;
БожеряновА;;;;;;;;
БолдыревИЕ;;;;;5;3;;
БолотновВД;;;;;;;;
БольдиниД;;;;;;;;
Бонч-ОсмоловскаяОГ;;;;;;;;
Бонч-ТомашевскийЮО;;;;;;;;
БоревскийН;;;;;;;;
БоринВМ;;;;;;;;
БорисовАА;;;;;;;;
БорисовИФ;;;;;;;;
Борисов-МусатовВЭ;;;;;;;;
БормоткинВМ;;;;;;;;
БородаевскийСО;;;;;;;;
БортникерДМ;;;;;;;;
БоруздинаВМ;;;;;;;;
БоскинМВ;;;;;;;;
БоссиЭ;;;;;;;;
БоткинаМС;;;;;;;;
БоткинМП;;;;;;;;
БоткинНИ;;;;;;;;
БочаровМИ;;;;;;;;
БрагаГ;;;;;;;;
БрагаЭ;;;;;;;;
БразельЮН;;1;;1;;;;
БразОЭ;;;;;;;;
БраиловскаяРН;;;;;;;;
БраиловскийЛМ;;;;;;;;
БракГ;;;;;;;;
БрандтИ;;;;;;;;
БраунЭГ;;;;;;;;
Бредт;;;;;;;;
Брендель;;;;;;;;
БржозовскийФФ;;;;;;;;
БроварьЯИ;1;3;;;;;;
БродскийИИ;;;;;;;;
БромбергФГ;;4;;;3;;;
БронниковНК;;;;;;;;
БронниковФА;;;;;;;;
БроновицкийГФ;;;;;;;;
БруниНА;;;;;;;;
БруниФА;;;;;;;;
БрускетиАЯ;;;;;;;;
БрухардтФК;;;;;2;;;
БрэнгвинЖ;;;;;;;;
БрюлловПА;;;;;;;;
БрянскийМВ;;;;;;;;
БубликовНЕ;;;;3;;;;2
Будкевич;;;;;;;;
Будковская-КибальчичНТ;;;;;;;;
БудковскийГЯ;;;;;;;;
БузалевскийБМ;;;;;2;;;
БуйндМА;;;;;;;;
БуйницкийРИ;;;2;;;;;
БуковецкийЕИ;;;;;;;;
БукФП;;;;;;;;
БулацельРС;;;;;;;;
Бульмеринг-КороленкоЕП;;;;;;;3;
БунинНН;1;4;6;1;1;;;
БургардтЛО;;;;;;;;
Бургарт;;;;;;;;
БуринскаяНФ;;;;;;;;
БурлюкВД;;;;;;;;
БурлюкДД;;;;;;;;
БуровФЕ;;;;;;;;
БурхардтФК;;;;4;;;;
БутлярСА;;;;;;;4;
Бутэ-де-Монвель;;;;;;;;
БухгольцФФ;9;9;14;12;20;11;58;20
БухерАИ;;;;;;;;
БухПН;;;;;;;;
БыкадоровНЯ;;;;;;;;
БыковскийНМ;;;;;;;;
БылевскийФС;;;;;;;;
БыляшкинВВ;;;;;;;;
БыстренинВИ;;;;;;;;
БычковВП;;;;;;;;
Бюлов;;;;;;;;
Бяльницкий-БируляВК;;;;;;;;
ВаальАЭ;;;;;;;;
ВагнерПН;;;;;;;;
ВаленковаСН;;;;;;;;
ВалькевичМИ;;;;;;;;
ВальтерИФ;;;;;;;;
ВанДонген;;;;;;;;
ВарыпаеваНА;;;;;;;;
ВасильевАА;;;;;;;;
ВасильевВН;;;;4;4;4;;
ВасильевЛО;;;;;;;;
ВасильевМА;;;;;;;;
ВасильевФА;;;;;;;;
ВасильковскийСИ;;;;;;;;
ВаскиевскаяЕ;;;;;;;;
ВаснецовАМ;;;;;;;;
ВаснецовВМ;;;;;;;;
ВасютинскийАА;;;;;;;;
Ваулин;;;;;;;;
ВахрамеевАИ;;;;;;;;
ВахрушовФМ;2;2;1;3;3;;;
ВахтерЕА;;;;;;;;
ВащенкоЕП;;;;;;;;
ВеберЯЯ;;;;;;;;
Вейсенгоф;;;;;;;;
ВейценбергАИ;;;2;;;;;
ВекшинскийАН;;;;;;;;
ВелигоноваЗВ;;;;;1;;;
ВеликановВИ;;;;;;;;
ВельонскийПА;;;;;;;;
ВельцИА;13;10;11;11;15;12;16;14
ВенигКБ;2;4;;;;;;
ВенигПК;2;6;6;;;8;5;16
ВеревкинаМ;;;;;;;;
ВеревкинФИ;;;;;;;;
ВерейскийГС;;;;;;;;
ВерещагинВВ;;4;;;;;;
ВерещагинВП;4;;;;;;;
ВерещагинПИ;;;;;;;;
ВерещагинПП;;;;;;;;
ВернерАВ;;;;;;;;
Версилова-НерчинскаяМН;;;;;;;;
Вертс;;;;;;;;
ВерховскаяЛН;;;;;;;;
ВерховскийГЕ;;;;;;;;
ВершининИЕ;;;;;;;;
ВеселовПЛ;;;;;;;;
ВеселовскийЛР;;;;;;;;
ВестфаленАХ;;;;;;;;
ВещиловКА;;;;;;;;
ВжещьЕК;;;;;;;;
ВизельЭО;;;;;;;;
ВиллевальдеАБ;;;;;;;;
ВиллевальдеБП;;;;;;;;
Виллегас;;;;;;;;
ВиллиамЕН;;;;;;;;
ВиллиеМЯ;;;;;;;;
ВильдеРФ;;;;;;;;
Вилье;;;;;;;;
ВинклерКА;;;;;;;;
ВиноградоваОА;;;;;;;;
ВиноградовСА;;;;;;;;
ВинцманИК;1;1;1;1;;;;
ВинцманОИ;;;;;;;;
