Artist;Gender;Museums
ВаальАЭ;0;0
ВагнерПН;0;0
ВаленковаСН;1;0
ВалькевичМИ;0;0
ВальтерИФ;0;0
ВанДонген;0;0
ВарыпаеваНА;0;0
ВасильевАА;0;0
ВасильевВН;0;0
ВасильевЛО;0;0
ВасильевМА;0;0
ВасильевФА;0;0
ВасильковскийСИ;0;0
ВаскиевскаяЕ;1;0
ВаснецовАМ;0;5
ВаснецовВМ;0;38
ВасютинскийАА;0;0
Ваулин;0;0
ВахрамеевАИ;0;0
ВахрушовФМ;0;0
ВахтерЕА;0;0
ВащенкоЕП;0;0
ВеберЯЯ;0;0
Вейсенгоф;0;0
ВейценбергАИ;0;0
ВекшинскийАН;0;0
ВелигоноваЗВ;1;0
ВеликановВИ;0;0
ВельонскийПА;0;0
ВельцИА;0;0
ВенигКБ;0;1
ВенигПК;0;0
ВеревкинаМ;1;0
ВеревкинФИ;0;0
ВерейскийГС;0;0
ВерещагинВВ;0;50
ВерещагинВП;0;2
ВерещагинПИ;0;0
ВерещагинПП;0;0
ВернерАВ;0;0
Версилова-НерчинскаяМН;1;0
Вертс;0;0
ВерховскаяЛН;1;0
ВерховскийГЕ;0;0
ВершининИЕ;0;0
ВеселовПЛ;0;0
ВеселовскийЛР;0;0
ВестфаленАХ;0;0
ВещиловКА;0;0
ВжещьЕК;0;0
ВизельЭО;0;0
ВиллевальдеАБ;0;0
ВиллевальдеБП;0;0
Виллегас;0;0
ВиллиамЕН;0;0
ВиллиеМЯ;0;0
ВильдеРФ;0;0
Вилье;0;0
ВинклерКА;0;0
ВиноградоваОА;1;0
ВиноградовСА;0;1
ВинцманИК;0;0
ВинцманОИ;0;0
ВисковатоваЕИ;1;0
ВисниовскаяЕИ;1;0
ВистингаузенАА;0;0
ВитвицкийИГ;0;0
ВладимировИА;0;0
ВладимирскийБ;0;0
Владимирский-Киевский;0;0
ВласовСА;0;0
ВознесенскаяАВ;1;0
ВоиновРВ;0;0
ВолковВВ;0;0
ВолковГ;0;0
ВолковЕЕ;0;0
ВолочинковАМ;0;0
ВонгльСЭ;0;0
ВороненковВЕ;0;0
ВоронковВЕ;0;0
ВороновПФ;0;0
ВоронцовВВ;0;0
ВоротынскийДА;0;0
ВостингаузенА;0;0
ВрангельЕК;1;0
ВрачевИА;0;0
ВроблевскийКК;0;0
ВронскийСЕ;0;0
ВрубельМА;0;40
