ВерещагинПИ;
ВерещагинПП;
ВернерАВ;
Версилова-НерчинскаяМН;
Вертс;
ВерховскаяЛН;
ВерховскийГЕ;
ВершининИЕ;
ВеселовПЛ;
ВеселовскийЛР;
ВестфаленАХ;
ВещиловКА;
ВжещьЕК;
ВизельЭО;4
ВиллевальдеАБ;
ВиллевальдеБП;
Виллегас;
ВиллиамЕН;
ВиллиеМЯ;
ВильдеРФ;
Вилье;
ВинклерКА;
ВиноградоваОА;
ВиноградовСА;
ВинцманИК;
ВинцманОИ;
ВисковатоваЕИ;
ВисниовскаяЕИ;
ВистингаузенАА;
ВитвицкийИГ;
ВладимировИА;1
ВладимирскийБ;
Владимирский-Киевский;
ВласовСА;23
ВознесенскаяАВ;
ВоиновРВ;
ВолковВВ;
ВолковГ;
ВолковЕЕ;
ВолочинковАМ;
ВонгльСЭ;
ВороненковВЕ;
ВоронковВЕ;
ВороновПФ;
ВоронцовВВ;
ВоротынскийДА;
ВостингаузенА;
ВрангельЕК;
ВрачевИА;
ВроблевскийКК;
ВронскийСЕ;
ВрубельМА;
ВульфВВ;
ВучичевичВД;
ВывиорскийМИ;
ВыезжевАН;
ВысотскийКС;
ГаберцеттельВ;
ГабовичМГ;
ГаврильцевДМ;
ГагаринНВ;
Гаген-ТорнМЭ;
Гаген-ШварцЮ;
ГадонСС;
ГаевскийВМ;
Галеота;
ГалимскийВМ;
ГалкинИС;
ГалленА;
Галофрэ;
ГамбургерЛА;
ГаммК;
ГанзенАВ;
ГариевичБВ;
ГартманК;
ГаушАФ;
ГаушЛ;
ГвидоН;
Гейерманс;
ГейманС;
ГеллерПИ;4
Гельдвейн-Ваулин;
ГеНН;
ГерардовНИ;
ГерасимовАМ;
ГерманГ;
ГермашевММ;
ГерсонВВ;
ГершевскийСИ;
ГефтлерКЭ;
ГигогабаевГИ;
ГинцбургИЯ;
ГинцбургМГ;
ГиньковскийПВ;
ГиппусНН;
ГирвАП;
ГиршльА;
ГлаголеваАС;
ГлобаНВ;
ГлущенкоДИ;
ГляйзесА;
ГодунЕ;
ГолеевскаяПК;
ГолембиовскийКИ;
ГолицынаЕВ;
ГоловинАЯ;
ГоловкинГС;
ГоловковГС;
ГолубкинаАС;
ГолынскийВА;
ГольдблатЯС;
ГольддингерЕВ;
ГольдеЭН;
ГольдингерЕВ;
ГольдманИБ;
Гом-БаргЮЯ;
ГончароваНС;
ГонякИК;
ГоравскийАГ;
ГорбатовКИ;
ГорбуновАК;
ГорбуновКА;
ГороновичВЯ;
ГороховИЛ;
ГорскийКН;
Горюшкин-СкоропудовИС;
ГосЭИ;6
ГофманнК;
ГофманОА;
ГоффертАЕ;
ГрабарьИЭ;
ГрабовскийВ;
ГравеВФ;
ГрандковскийНК;
ГригорьевВМ;
ГригорьевПА;
ГриллихесАА;
ГриневАП;
ГриценкоНН;
ГрищенкоАВ;
ГромовАА;
ГросманАГ;
ГрузенбергСН;
ГрузинскийПН;
ГрюнфельдМИ;
ГугунаеваИГ;
ГужавинММ;1
ГузарскийВ;
ГузиковСМ;
ГулевичЕА;
ГумаликНИ;
ГунКФ;
ГусеваАА;
ГусеваГ;
ГусиковХК;
Гюбнер-СимонисЭВ;
ГюбнерЭВ;
ГюрджанАМ;
ДабижаАВ;
ДаксергофФП;
ДальГ;
Д'АльгеймММ;
Даньян-Бувере;
ДаугельА;
Дашенко;
ДворниковТЯ;
Де-Вит-МанизерСС;
ДевяткинСЕ;14
ДевятовЯМ;
ДегазШ;
ДеевСС;
Делла-ВосОЛ;
ДенисовАК;
Денисов-УральскийАК;
ДеранА;
ДержавинНМ;
ДерюжинскийГВ;
ДетерсЭВ;
ДешинД;
ДженеевИА;
ДжилардиП;
ДжогинПП;
ДжонстонГ;
ДиллонМЛ;
ДилльЛ;
ДитрихЛА;
ДмитриевВА;
ДмитриевИЯ;
Дмитриев-КавказскийЛЕ;
Дмитриев-КавказскийН;
ДмитриевЛЕ;
Дмитриев-ОренбургскийНД;
ДмитриевС;
Дмитриев-ЧелябинскийИЯ;
ДобрижинскийВА;
ДобровольскийВГ;5
ДобровольскийНФ;
ДобужинскийМВ;
ДолговАА;
ДолговИВ;
ДолинВК;
ДомарадзкийСЭ;
ДоскинНВ;
ДржевецкаяЛ;
ДриттенпрейсВП;
ДроздовИГ;5
ДрюльВ;
ДубовскийНН;
ДубровскийАС;
ДудинИО;
ДуковичСА;
ДукшинскаяЭГ;
ДурдинБН;
ДурновМА;
ДыдышкоКВ;
Дьякова-АлексееваМН;
ДьяковаМН;
Дьяконов-МичанскийДВ;
ДюккерЕЭ;
ЕвреиновВВ;
ЕвсеевКИ;
ЕгорновАС;
ЕгорновСС;
ЕгоровАА;
ЕгоровЕВ;
ЕгоровЛЕ;
ЕгоровСЗ;
ЕдельфельдА;
ЕндогуровНИ;
ЕрмиловИ;
ЕрмолаевБН;
ЕрнефельтЕ;
ЕсиповДА;
ЕфимовИЕ;
ЕфимовМЯ;
ЕфимовНН;
ЖабаАК;14
ЖабаНК;
ЖаравоваАА;
Жевакина-НикольскаяМС;
Жеврежеев;
